ID; name; description; talk; password; key0; key1; key2; fd; level; type; class; race; numwander; alignment; strength; dexterity; constitution; intelligence; piety; hpmax; hpcur; mpmax; mpcur; armor; thaco; experience; gold; ndice; sdice; pdice; special; proficiency0; proficiency1; proficiency2; proficiency3; proficiency4; proficiency5; realm0; realm1; realm2; realm3; realm4; realm5; realm6; realm7; spells0; spells1; spells2; spells3; spells4; spells5; spells6; spells7; spells8; spells9; spells10; spells11; spells12; spells13; spells14; spells15; flags0; flags1; flags2; flags3; flags4; flags5; flags6; flags7; flags8; flags9; flags10; flags11; flags12; flags13; flags14; flags15; quests0; quests1; quests2; quests3; quests4; quests5; quests6; quests7; quests8; quests9; quests10; quests11; quests12; quests13; quests14; quests15; questnum; carry0; carry1; carry2; carry3; carry4; carry5; carry6; carry7; carry8; carry9; rom_num; bank_balance; title; misc_stats0; misc_stats1; misc_stats2; misc_stats3; misc_stats4; clanindex; clanexp; guildtype; guildexp; special1; special2
17;giant rat;The rat's looking for food, and he thinks you're it!;<squeak>;17;rat;;;-1;2;1;0;0;0;-30;11;14;11;5;5;16;16;0;0;80;18;7;0;1;5;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8635056;(null);0;0;0;0;0;0;0;0;0;0
18;ghost;The ghost is nearly shapeless, so you cannot make out who it might be.;Boo!;18;;;;-1;4;1;0;0;0;-75;12;12;11;8;8;30;30;0;0;60;17;40;0;1;8;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;47;0;0;47;0;0;0;0;0;0;47;8638272;(null);0;0;0;0;0;0;0;0;0;0
19;apparition;It's an apparition of a wrinkled old woman.;WooooooOOOooooooooooo;19;;;;-1;5;1;0;0;0;-50;11;17;11;11;11;45;45;0;0;50;15;65;0;2;4;2;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;52;53;53;0;0;0;52;53;52;0;52;8641488;(null);0;0;0;0;0;0;0;0;0;0
20;evil wraith;The wraith stands before you with globs of flesh dripping from its bones;Beware. I come to kill.;20;wraith;;;-1;5;1;0;0;0;-200;14;14;11;11;11;52;52;0;0;50;15;75;0;2;5;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;12;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;54;83;0;36;36;36;35;37;47;0;54;8644704;(null);0;0;0;0;0;0;0;0;0;0
21;little mouse;He's hoping he doesn't get his tail cut off by the farmer's wife.;<squeak>!;21;mouse;;;-1;1;1;0;0;0;20;8;8;8;8;8;5;5;0;0;100;20;1;0;1;3;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8647920;(null);0;0;0;0;0;0;0;0;0;0
22;old gardener;The extremely old man is busy raking the lawn of the ominous house.;I rake, I hoe, I walk, I mow.  It's my job, you know?;22;gardener;;;-1;4;1;4;0;0;100;14;12;11;11;11;40;40;0;0;60;14;40;0;2;5;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;12;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;49;49;49;49;49;49;49;49;49;0;49;8651136;(null);0;0;0;0;0;0;0;0;0;0
23;ghoul;He has blood dripping from his mouth - probably that of his last victim.;Ha Ha Ha! I can smell your blood.  You're next;23;;;;-1;5;1;0;0;0;-100;14;14;11;11;11;47;47;0;0;50;15;80;0;1;8;2;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;11;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;55;35;37;0;0;0;0;54;55;0;55;8654352;(null);0;0;0;0;0;0;0;0;0;0
24;ghast;The ghast appears as a horrifying apparition of a dead man.;Boo!;24;;;;-1;4;1;0;0;0;-120;12;12;11;11;11;36;36;0;0;60;16;40;0;1;6;2;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;35;0;47;0;0;47;0;0;0;0;8657568;(null);0;0;0;0;0;0;0;0;0;0
25;madman;This wild madman looks like he was someone's failed experiment.;You die sucker!;25;;;;-1;1;1;0;0;3;-50;13;12;11;10;5;10;10;0;0;90;19;10;0;2;2;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;10;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;8660784;(null);0;0;0;0;0;0;0;0;0;0
26;dwarf;Although quite small, this dwarf can be a tough adversary;Are you making fun of me?;26;;;;-1;5;1;0;0;0;50;12;18;11;11;11;60;60;0;0;50;15;100;10;2;5;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;26;57;57;0;0;29;29;0;0;0;26;8664000;(null);0;0;0;0;0;0;0;0;0;0
27;minotaur;This wild creature has a horn on its forehead.;<growl>;27;;;;-1;4;1;0;0;0;-50;16;12;11;11;8;45;45;0;0;75;16;40;0;2;4;1;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;0;0;172;0;0;0;172;0;0;0;0;8667216;(null);0;0;0;0;0;0;0;0;0;0
28;swordmaster;The swordsman guild has certified him a master craftsman.;I'll cut you up fast.;28;;;;-1;5;1;0;0;0;50;17;14;11;11;8;60;60;0;0;50;15;80;0;3;3;1;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;77;113;113;256;280;280;0;0;0;0;77;8670432;(null);0;0;0;0;0;0;0;0;0;0
29;centaur;You see a man, a horse, or both?;get your hands off my ass!;29;;;;-1;8;1;0;0;0;50;15;15;16;15;15;100;100;0;0;40;12;220;0;3;5;1;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;51;54;0;60;189;189;0;0;0;0;51;8673648;(null);0;0;0;0;0;0;0;0;0;0
30;guard;This guard looks like he's made out of rock.  You better do what he says.;hey you, get the hell outta here!;30;;;;-1;10;1;0;0;0;250;16;16;18;15;15;135;135;0;0;20;10;340;50;3;6;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;10;11;13;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;280;280;280;280;280;250;250;250;250;0;280;8676864;(null);0;0;0;0;0;0;0;0;0;0
31;headless horseman;You know... like the one who haunted Ichabod Crane.;Ha!  And you thought I wouldn't be able to talk!;31;horseman;;;-1;7;1;0;0;0;-100;16;16;16;11;11;80;80;0;0;30;13;150;0;3;4;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;7;10;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;66;66;66;59;59;48;66;97;97;0;66;8680080;(null);0;0;0;0;0;0;0;0;0;0
32;spectre;The spectre is a demonic-looking creature, dark as a shadow.;Your soul is mine.;32;;;;-1;9;1;0;0;0;-150;18;17;18;11;11;110;110;12;12;20;11;280;0;3;5;3;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;13;15;16;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;67;58;52;83;54;66;65;60;83;0;67;8683296;(null);0;0;0;0;0;0;0;0;0;0
33;skeleton;The skeleton is an animated pile of bones.;Die, fool;33;;;;-1;4;1;0;0;0;-50;13;13;10;10;10;38;38;0;0;60;16;45;0;1;8;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;3;32;26;26;37;52;0;23;0;0;3;8686512;(null);0;0;0;0;0;0;0;0;0;0
34;vampire;You know it's a vampire simply by seeing its protruding incisors.;I vant to suck your blood!;34;;;;-1;7;1;0;0;0;-80;15;15;15;16;8;77;77;0;0;40;13;150;0;1;12;2;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;11;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;71;37;47;65;59;59;67;53;53;0;71;8689728;(null);0;0;0;0;0;0;0;0;0;0
35;warg;The warg stares at you from vacant eyes.;WooooOOOooo;35;;;;-1;6;1;0;0;0;-50;16;18;16;12;7;66;66;0;0;50;14;110;0;2;5;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;11;13;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;67;59;57;54;0;0;0;0;0;0;67;8692944;(null);0;0;0;0;0;0;0;0;0;0
36;the ghost of Evan Nildredge;He was once the owner of this mansion, but now is merely a ghost.;Oh how I long to live in this abode as a living being once again.;36;evan;ghost;nildredge;-1;13;1;0;0;0;0;18;16;12;17;20;160;160;15;15;10;8;500;80;3;7;1;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;13;15;16;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;74;74;74;74;74;74;74;74;74;0;74;8696160;(null);0;0;0;0;0;0;0;0;0;0
37;zombie;Flesh hangs loosely from his bones as he wanders aimlessly toward you.;MmmmmmmmMMMmm;37;;;;-1;6;1;0;0;0;-50;18;8;20;11;11;70;70;0;0;40;14;120;0;2;4;2;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;13;15;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;71;75;58;52;52;52;51;0;0;0;71;8699376;(null);0;0;0;0;0;0;0;0;0;0
38;looter;He's got a sack draped over his shoulder, ready to loot anything in sight.;Get out of my way, you amateur.;38;;;;-1;5;1;0;0;0;-30;13;13;11;11;11;47;47;0;0;60;14;75;0;1;8;1;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;83;69;76;76;76;75;79;83;83;0;83;8702592;(null);0;0;0;0;0;0;0;0;0;0
39;ghostly fencer;This ghost appears as a fencer, fully decked out in fencer's garb.;En Guarde!;39;fencer;;;-1;8;1;0;0;0;-50;14;16;13;11;11;100;100;0;0;30;12;200;0;2;4;3;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;15;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;81;80;45;75;71;68;77;80;77;0;81;8705808;(null);0;0;0;0;0;0;0;0;0;0
40;sewer rat;It's covered in sewer-goop.;<growl>;40;rat;;;-1;2;1;0;0;0;-20;12;14;11;11;11;20;20;0;0;80;18;20;0;1;6;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;11;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;93;0;0;98;0;0;0;0;0;0;8709024;(null);0;0;0;0;0;0;0;0;0;0
41;lillianril;The tall plant-like creature stares at you through 18 eye-stalks.;<pht>;41;;;;-1;8;1;0;0;0;-50;16;16;16;15;15;100;100;12;12;40;12;220;0;4;4;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;12;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;86;86;89;94;95;96;0;97;85;0;86;8712240;(null);0;0;0;0;0;0;0;0;0;0
42;dervish;The dervish is a small, swarthy-looking thief.;Hand it over, fool;42;;;;-1;5;1;0;0;0;-90;15;16;11;11;11;50;50;0;0;50;15;80;20;2;4;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;10;12;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;97;97;77;46;46;24;32;71;76;0;97;8715456;(null);0;0;0;0;0;0;0;0;0;0
43;orc;The orc is a perversion of the elven race.;you're not an elf, are you?  I hate elves!;43;;;;-1;4;1;0;0;0;-20;13;10;11;11;11;36;36;0;0;60;16;40;0;1;7;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;96;38;10;18;20;26;34;52;52;0;96;8718672;(null);0;0;0;0;0;0;0;0;0;0
44;worker;She's just a typical sewer worker doing typical sewer work.;Don't worry, you get used to the smell.;44;;;;-1;3;1;0;0;0;50;11;12;12;11;11;23;23;0;0;70;17;35;0;2;2;1;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;46;46;36;62;31;0;0;20;6;0;46;8721888;(null);0;0;0;0;0;0;0;0;0;0
45;thief;You almost didn't see him.  He blends in with his surroundings quite well.;Cross me, and die;45;;;;-1;6;1;0;0;0;-40;15;16;15;15;6;60;60;0;0;40;14;125;0;1;12;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;12;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;80;80;96;96;91;87;85;70;65;0;80;8725104;(null);0;0;0;0;0;0;0;0;0;0
46;kobold;The kobold appears as a sort of upright-walking dog creature.;Bark!;46;;;;-1;4;1;0;0;0;-20;10;11;11;11;11;37;37;0;0;70;16;40;0;2;3;1;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;58;51;51;33;46;69;0;0;0;0;58;8728320;(null);0;0;0;0;0;0;0;0;0;0
47;carrion crawler;The carrion crawler is a large multiped with a large mouth for eating flesh.;<phhht>;47;crawler;;;-1;6;1;0;0;0;-10;15;16;18;4;8;70;70;0;0;50;14;120;0;4;2;2;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;94;0;89;0;92;0;51;0;0;0;8731536;(null);0;0;0;0;0;0;0;0;0;0
